Driver,session_id,season,Avg_Lap_Time,Avg_Sector_1_Time,Avg_Sector_2_Time,Avg_Sector_3_Time
23,2020_2,2020,84.02523,19.661285,39.004266,27.803928
10,2020_2,2020,88.210821,21.242466,39.7625,28.946258
3,2020_2,2020,83.898925,19.858571,37.878709,27.366366
5,2020_2,2020,87.348642,21.551517,37.94675,28.001903
16,2020_2,2020,87.975047,22.300136,37.982291000000004,28.197043
63,2020_2,2020,88.864052,22.301,38.552904,29.599047
18,2020_2,2020,86.55155,21.627047,37.622,27.8955
26,2020_2,2020,85.58825,21.774,37.791782,26.952181
20,2020_2,2020,88.473578,21.82725,38.518772,29.681571
7,2020_2,2020,88.7618,23.966727,38.052833,27.509363
11,2020_2,2020,86.8204,22.069,38.423272,27.831818
6,2020_2,2020,86.8515,21.851181,37.990454,28.1807
99,2020_2,2020,89.6661,23.931363,37.682636,28.33009
8,2020_2,2020,,,49.014,34.192
44,2020_3,2020,85.95825,30.409875,30.548545,26.749863
77,2020_3,2020,86.287928,30.177785,31.0939,28.80905
18,2020_3,2020,83.785733,29.778312,31.0935,25.414571
11,2020_3,2020,85.480866,30.081625,31.900454,26.606047
5,2020_3,2020,86.794769,30.861571,32.2641,27.430842
16,2020_3,2020,85.502846,30.650857,33.3866,27.540526
33,2020_3,2020,85.443642,30.6638,31.268428,27.2111
4,2020_3,2020,87.077615,30.270428,31.9076,28.427526
55,2020_3,2020,87.819928,30.445133,32.102095,28.90355
